outer_fold,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
2,Decision Tree,34.08960831165314,0.2954304254464373,0.12856370210647583,0.011384015418528676,entropy,20,2,2,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.9258780998005964,0.9288779452173028,0.9303675245358473,0.9298640835743155,0.9287469132820154,0.0017408123432237548,13
2,Decision Tree,37.929668724536896,1.7097375734557834,0.1310741901397705,0.0024770431984540513,entropy,20,2,5,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5}",0.9264907132866078,0.927974820129788,0.9294293641633102,0.9292706814857349,0.9282913947663601,0.0011828620079263777,23
2,Decision Tree,35.7224987745285,1.8410625093373183,0.12612640857696533,0.010069122418576538,entropy,20,2,10,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10}",0.9261337068153689,0.9289472134020283,0.9299766585727182,0.9307883611492827,0.9289614849848495,0.0017581657336232178,5
2,Decision Tree,35.486576795578,1.3808100524826994,0.1294022798538208,0.007597778022426991,entropy,20,5,2,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.9264028413552131,0.9282721554506048,0.9305975907434803,0.9285931443899472,0.9284664329848114,0.0014877872282832853,20
2,Decision Tree,36.869864881038666,2.087694524814322,0.130557119846344,0.005714212823821712,entropy,20,5,5,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5}",0.9264028413552131,0.9282721554506048,0.9305975907434803,0.9285931443899472,0.9284664329848114,0.0014877872282832853,20
2,Decision Tree,36.67405945062637,1.9916986092529398,0.13668984174728394,0.006813002502685241,entropy,20,5,10,"{'model__criterion': 'entropy', 'model__max_depth': 20, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.9264028413552131,0.9282721554506048,0.9305975907434803,0.9285931443899472,0.9284664329848114,0.0014877872282832853,20
2,Decision Tree,36.17845398187637,1.717075052108821,0.13115912675857544,0.007897491762479527,entropy,30,1,2,"{'model__criterion': 'entropy', 'model__max_depth': 30, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.9262970779148272,0.9289453779806913,0.9314985083325978,0.9300922049964094,0.9292082923061314,0.0019085782841277875,2
2,Decision Tree,35.70526057481766,1.4499889849456453,0.13390415906906128,0.004146114135237643,entropy,30,1,5,"{'model__criterion': 'entropy', 'model__max_depth': 30, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5}",0.9274790283329817,0.9266283733024885,0.9301067000839986,0.9303862093614614,0.9286500777702326,0.00162746330268966,14
2,Decision Tree,35.49542087316513,0.5604157810281295,0.12565255165100098,0.007330682584542909,entropy,30,1,10,"{'model__criterion': 'entropy', 'model__max_depth': 30, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.9252668151232011,0.9267370629305495,0.9288083848703378,0.9298336118783017,0.9276614687005975,0.0017764089104351966,34
2,Decision Tree,35.85959059000015,1.7474832246204162,0.1270277500152588,0.008078394525822274,entropy,30,2,2,"{'model__criterion': 'entropy', 'model__max_depth': 30, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.9262371643108017,0.9283923132878347,0.9308170721127325,0.9302308445191679,0.9289193485576341,0.0017883829887822575,7
2,Decision Tree,35.497161507606506,1.3034343765601228,0.12800806760787964,0.0047908199042496985,entropy,30,2,5,"{'model__criterion': 'entropy', 'model__max_depth': 30, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5}",0.926295169762289,0.9282649716335214,0.9295088362274044,0.9303201828043632,0.9285972901068945,0.0015173553658915458,17
2,Decision Tree,36.03463512659073,1.3130870265107095,0.12539422512054443,0.003717672258726208,entropy,30,2,10,"{'model__criterion': 'entropy', 'model__max_depth': 30, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10}",0.9265066058706544,0.9282930579981395,0.9302500069976385,0.9306263430724021,0.9289190034847087,0.0016506096464327868,10
2,Decision Tree,35.948153257369995,1.1080208303656427,0.1339806318283081,0.0029241191346906694,entropy,30,5,2,"{'model__criterion': 'entropy', 'model__max_depth': 30, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.9258226792653276,0.9281366547594974,0.9297692734614162,0.9280911005299738,0.9279549270040537,0.0014044484409285725,24
2,Decision Tree,34.65847647190094,1.2257864811468948,0.12837451696395874,0.002499254141849745,entropy,30,5,5,"{'model__criterion': 'entropy', 'model__max_depth': 30, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5}",0.9258226792653276,0.9281366547594974,0.9297692734614162,0.9280911005299738,0.9279549270040537,0.0014044484409285725,24
2,Decision Tree,35.84155976772308,1.7820440646257014,0.13113027811050415,0.004330947292770963,entropy,30,5,10,"{'model__criterion': 'entropy', 'model__max_depth': 30, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.9258226792653276,0.9281366547594974,0.9297692734614162,0.9280911005299738,0.9279549270040537,0.0014044484409285725,24
2,Decision Tree,35.556404411792755,1.7308221887338302,0.12444889545440674,0.004219171670332906,entropy,40,1,2,"{'model__criterion': 'entropy', 'model__max_depth': 40, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.9262970779148272,0.9289453779806913,0.9314985083325978,0.9300922049964094,0.9292082923061314,0.0019085782841277875,2
2,Decision Tree,35.891809582710266,1.3381641527459953,0.12413907051086426,0.005878957388270851,entropy,40,1,5,"{'model__criterion': 'entropy', 'model__max_depth': 40, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5}",0.9274790283329817,0.9266283733024885,0.9301067000839986,0.9303862093614614,0.9286500777702326,0.00162746330268966,14
2,Decision Tree,34.86640191078186,1.6185028397850567,0.11544042825698853,0.007857814154249847,entropy,40,1,10,"{'model__criterion': 'entropy', 'model__max_depth': 40, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.9252668151232011,0.9267370629305495,0.9288083848703378,0.9298336118783017,0.9276614687005975,0.0017764089104351966,34
2,Decision Tree,36.487161338329315,1.591018332798734,0.09129786491394043,0.020837772768882993,entropy,40,2,2,"{'model__criterion': 'entropy', 'model__max_depth': 40, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.9262371643108017,0.9283923132878347,0.9308170721127325,0.9302308445191679,0.9289193485576341,0.0017883829887822575,7
2,Decision Tree,35.32559144496918,1.838703235054238,0.09629982709884644,0.02085402978578667,entropy,40,2,5,"{'model__criterion': 'entropy', 'model__max_depth': 40, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5}",0.926295169762289,0.9282649716335214,0.9295088362274044,0.9303201828043632,0.9285972901068945,0.0015173553658915458,17
2,Decision Tree,34.34922683238983,1.079616469864018,0.09892785549163818,0.01622371650531235,entropy,40,2,10,"{'model__criterion': 'entropy', 'model__max_depth': 40, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10}",0.9265066058706544,0.9282930579981395,0.9302500069976385,0.9306263430724021,0.9289190034847087,0.0016506096464327868,10
2,Decision Tree,33.66184210777283,0.9977431014206394,0.08391493558883667,0.019735277372515125,entropy,40,5,2,"{'model__criterion': 'entropy', 'model__max_depth': 40, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.9258226792653276,0.9281366547594974,0.9297692734614162,0.9280911005299738,0.9279549270040537,0.0014044484409285725,24
2,Decision Tree,28.95012891292572,0.9884798217734634,0.06986981630325317,0.0007800662852849744,entropy,40,5,5,"{'model__criterion': 'entropy', 'model__max_depth': 40, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5}",0.9258226792653276,0.9281366547594974,0.9297692734614162,0.9280911005299738,0.9279549270040537,0.0014044484409285725,24
2,Decision Tree,21.246879518032074,0.49049182896334736,0.06403011083602905,0.0009926335765760121,entropy,40,5,10,"{'model__criterion': 'entropy', 'model__max_depth': 40, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.9258226792653276,0.9281366547594974,0.9297692734614162,0.9280911005299738,0.9279549270040537,0.0014044484409285725,24
